,randomness,layer_name,execution_time,test_acc,test_acc_epoch,test_loss,test_loss_epoch
1,0.0,sequential.2,144.87926,0.5265151262283325,0.5265151262283325,1.723266839981079,1.723266839981079
3,1e-07,sequential.2,110.707073,0.5833333134651184,0.5833333134651184,1.3650449514389038,1.3650449514389038
5,2e-07,sequential.2,116.926041,0.5757575631141663,0.5757575631141663,1.4053188562393188,1.4053188562393188
7,3e-07,sequential.2,182.209402,0.5833333134651184,0.5833333134651184,1.3647607564926147,1.3647607564926147
10,4e-07,sequential.6,112.277654,0.4583333432674408,0.4583333432674408,20.063140869140625,20.063140869140625
11,5e-07,sequential.2,195.079973,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
13,6e-07,sequential.2,134.187382,0.5492424368858337,0.5492424368858337,1.4956496953964231,1.4956496953964231
16,7e-07,sequential.6,97.234663,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
17,8e-07,sequential.2,97.181863,0.5833333134651184,0.5833333134651184,1.3646628856658936,1.3646628856658936
19,9e-07,sequential.2,180.351141,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
21,1e-06,sequential.2,133.720978,0.5833333134651184,0.5833333134651184,1.3653759956359863,1.3653759956359863
23,2e-06,sequential.2,161.131975,0.5265151262283325,0.5265151262283325,1.6916370391845703,1.6916370391845703
25,3e-06,sequential.2,192.104203,0.5037878751754761,0.5037878751754761,1.7887685298919678,1.7887685298919678
27,4e-06,sequential.2,165.629999,0.5833333134651184,0.5833333134651184,1.364921808242798,1.364921808242798
30,5e-06,sequential.6,109.225924,0.5416666865348816,0.5416666865348816,1.8130624294281008,1.8130624294281008
31,6e-06,sequential.2,108.655167,0.5833333134651184,0.5833333134651184,1.3657208681106567,1.3657208681106567
33,7e-06,sequential.2,164.898245,0.5833333134651184,0.5833333134651184,1.364910125732422,1.364910125732422
35,8e-06,sequential.2,178.541206,0.5530303120613098,0.5530303120613098,1.56882905960083,1.56882905960083
37,9e-06,sequential.2,134.468391,0.5833333134651184,0.5833333134651184,1.3654006719589231,1.3654006719589231
39,1e-05,sequential.2,98.521929,0.5568181872367859,0.5568181872367859,1.4746686220169067,1.4746686220169067
41,2e-05,sequential.2,139.460795,0.5833333134651184,0.5833333134651184,1.3658912181854248,1.3658912181854248
43,3.0000000000000004e-05,sequential.2,104.390802,0.5833333134651184,0.5833333134651184,1.3648868799209597,1.3648868799209597
45,4e-05,sequential.2,148.246943,0.4621212184429168,0.4621212184429168,2.8996102809906006,2.8996102809906006
48,5e-05,sequential.6,101.821109,0.4583333432674408,0.4583333432674408,4.481622219085693,4.481622219085693
49,6.000000000000001e-05,sequential.2,130.517714,0.5833333134651184,0.5833333134651184,1.3666738271713257,1.3666738271713257
52,7.000000000000001e-05,sequential.6,104.892996,0.5530303120613098,0.5530303120613098,1.5002830028533936,1.5002830028533936
54,8e-05,sequential.6,99.609448,0.5416666865348816,0.5416666865348816,1.819385051727295,1.819385051727295
55,9e-05,sequential.2,133.238377,0.5833333134651184,0.5833333134651184,1.364027976989746,1.364027976989746
57,0.0001,sequential.2,166.863503,0.5227272510528564,0.5227272510528564,1.7083336114883425,1.7083336114883425
59,0.0002,sequential.2,117.035188,0.5833333134651184,0.5833333134651184,1.3677759170532229,1.3677759170532229
61,0.0003,sequential.2,156.627574,0.5303030014038086,0.5303030014038086,1.5533654689788818,1.5533654689788818
64,0.0004,sequential.6,111.891367,0.5530303120613098,0.5530303120613098,1.442964792251587,1.442964792251587
65,0.0005,sequential.2,109.755027,0.5833333134651184,0.5833333134651184,1.3649296760559082,1.3649296760559082
67,0.0006,sequential.2,115.989255,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
70,0.0007,sequential.6,98.919255,0.5719696879386902,0.5719696879386902,1.5170128345489502,1.5170128345489502
72,0.0008,sequential.6,99.19206,0.4886363744735718,0.4886363744735718,2.0773589611053467,2.0773589611053467
74,0.0009,sequential.6,101.091702,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
75,0.001,sequential.2,111.995683,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
77,0.002,sequential.2,157.735585,0.5833333134651184,0.5833333134651184,1.3651584386825562,1.3651584386825562
79,0.003,sequential.2,140.421587,0.564393937587738,0.564393937587738,1.494329571723938,1.494329571723938
81,0.004,sequential.2,96.103841,0.5719696879386902,0.5719696879386902,1.4203044176101685,1.4203044176101685
83,0.005,sequential.2,149.265598,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
85,0.006,sequential.2,107.984151,0.4734848439693451,0.4734848439693451,2.131871223449707,2.131871223449707
87,0.007,sequential.2,102.876192,0.5833333134651184,0.5833333134651184,1.3649004697799685,1.3649004697799685
89,0.008,sequential.2,137.906594,0.5833333134651184,0.5833333134651184,1.3649230003356934,1.3649230003356934
92,0.009,sequential.6,89.961274,0.5037878751754761,0.5037878751754761,1.7709462642669678,1.7709462642669678
93,0.01,sequential.2,146.241537,0.5833333134651184,0.5833333134651184,1.3648960590362549,1.3648960590362549
95,0.02,sequential.2,169.628193,0.5833333134651184,0.5833333134651184,1.36490797996521,1.36490797996521
98,0.03,sequential.6,115.989445,0.560606062412262,0.560606062412262,1.526250958442688,1.526250958442688
99,0.04,sequential.2,189.997101,0.469696968793869,0.469696968793869,1.6391730308532717,1.6391730308532717
101,0.05,sequential.2,188.465664,0.5833333134651184,0.5833333134651184,1.364858627319336,1.364858627319336
103,0.06,sequential.2,176.873982,0.5833333134651184,0.5833333134651184,1.364959478378296,1.364959478378296
105,0.07,sequential.2,181.03792,0.5833333134651184,0.5833333134651184,1.3652474880218506,1.3652474880218506
107,0.08,sequential.2,95.51479,0.5568181872367859,0.5568181872367859,1.4652224779129028,1.4652224779129028
109,0.09,sequential.2,154.709422,0.5340909361839294,0.5340909361839294,1.5117518901824951,1.5117518901824951
111,0.1,sequential.2,103.98775,0.5416666865348816,0.5416666865348816,1.6094015836715698,1.6094015836715698
113,0.2,sequential.2,172.110083,0.5568181872367859,0.5568181872367859,1.5049349069595337,1.5049349069595337
115,0.3,sequential.2,115.044518,0.5833333134651184,0.5833333134651184,1.3652148246765137,1.3652148246765137
117,0.4,sequential.2,95.230218,0.5833333134651184,0.5833333134651184,1.3653831481933594,1.3653831481933594
119,0.5,sequential.2,116.069718,0.5833333134651184,0.5833333134651184,1.3649035692214966,1.3649035692214966
121,0.6000000000000001,sequential.2,133.005555,0.5378788113594055,0.5378788113594055,1.6096694469451904,1.6096694469451904
124,0.7000000000000001,sequential.6,106.242241,0.5681818127632141,0.5681818127632141,1.4809956550598145,1.4809956550598145
126,0.8,sequential.6,97.417244,0.5075757503509521,0.5075757503509521,1.9468728303909304,1.9468728303909304
128,0.9,sequential.6,111.562091,0.5303030014038086,0.5303030014038086,1.7536563873291016,1.7536563873291016
129,1.0,sequential.2,179.275191,0.469696968793869,0.469696968793869,1.6546270847320557,1.6546270847320557
